Transaction_Id,Date,Merchant,Category,Amount,Type,Account
TXN-1001,2026-05-01,Salary Monthly,Income,5000.00,income,Bank
TXN-1002,2026-05-01,Apartment Rent,Housing & Rent,1600.00,expense,Bank
TXN-1003,2026-05-02,Whole Foods,Food & Dining,84.20,expense,Credit Card
TXN-1004,2026-05-02,Chevron Gas,Transportation,45.00,expense,Credit Card
TXN-1005,2026-05-03,Starbucks,Food & Dining,6.75,expense,Cash
TXN-1006,2026-05-04,Netflix,Entertainment,19.99,expense,Credit Card
TXN-1007,2026-05-05,Electricity Bill,Utilities & Bills,120.50,expense,Bank
TXN-1008,2026-05-05,Water District,Utilities & Bills,45.00,expense,Bank
TXN-1009,2026-05-06,Trader Joes,Food & Dining,62.30,expense,Credit Card
TXN-1010,2026-05-07,Local Cinema,Entertainment,25.00,expense,Cash
TXN-1011,2026-05-08,Uber Ride,Transportation,18.50,expense,Credit Card
TXN-1012,2026-05-08,Amazon Gadgets,Others,110.00,expense,Credit Card
TXN-1013,2026-05-09,Taco Bell,Food & Dining,12.40,expense,Cash
TXN-1014,2026-05-10,Steam Game Store,Entertainment,59.99,expense,Credit Card
TXN-1015,2026-05-11,Monthly Subway Pass,Transportation,90.00,expense,Bank
TXN-1016,2026-05-12,Internet Provider,Utilities & Bills,79.99,expense,Bank
TXN-1017,2026-05-13,Target Home Decor,Others,85.00,expense,Credit Card
TXN-1018,2026-05-14,Whole Foods,Food & Dining,95.60,expense,Credit Card
TXN-1019,2026-05-15,Dividend Payout,Income,150.00,income,Bank
TXN-1020,2026-05-15,Spotify Premium,Entertainment,9.99,expense,Credit Card
TXN-1021,2026-05-16,Gym Membership,Others,50.00,expense,Bank
TXN-1022,2026-05-17,Chevron Gas,Transportation,48.00,expense,Credit Card
TXN-1023,2026-05-18,Local Diner,Food & Dining,35.00,expense,Cash
TXN-1024,2026-05-19,Mobile Data Plan,Utilities & Bills,45.00,expense,Credit Card
TXN-1025,2026-05-20,Trader Joes,Food & Dining,54.10,expense,Credit Card
TXN-1026,2026-05-21,Concert Ticket,Entertainment,120.00,expense,Credit Card
TXN-1027,2026-05-22,Uber Ride,Transportation,22.00,expense,Credit Card
TXN-1028,2026-05-23,Bookstore,Others,30.00,expense,Cash
TXN-1029,2026-05-24,Starbucks,Food & Dining,7.20,expense,Cash
TXN-1030,2026-05-25,Whole Foods,Food & Dining,112.40,expense,Credit Card
TXN-1031,2026-05-26,Gas Bill,Utilities & Bills,65.00,expense,Bank
TXN-1032,2026-05-27,Pharmacy,Others,24.50,expense,Credit Card
TXN-1033,2026-05-28,McDonalds,Food & Dining,14.20,expense,Cash
TXN-1034,2026-05-28,Bowling Alley,Entertainment,40.00,expense,Credit Card
TXN-1035,2026-05-29,Trash Collection,Utilities & Bills,25.00,expense,Bank
TXN-1036,2026-05-30,Chevron Gas,Transportation,44.00,expense,Credit Card
TXN-1037,2026-05-31,Freelance Writing,Income,650.00,income,Bank
TXN-1038,2026-05-31,Subway Restaurant,Food & Dining,9.50,expense,Cash
TXN-1039,2026-06-01,Salary Monthly,Income,5000.00,income,Bank
TXN-1040,2026-06-01,Apartment Rent,Housing & Rent,1600.00,expense,Bank
TXN-1041,2026-06-02,Whole Foods,Food & Dining,92.10,expense,Credit Card
TXN-1042,2026-06-02,Chevron Gas,Transportation,47.00,expense,Credit Card
TXN-1043,2026-06-03,Starbucks,Food & Dining,6.80,expense,Cash
TXN-1044,2026-06-04,Netflix,Entertainment,19.99,expense,Credit Card
TXN-1045,2026-06-05,Electricity Bill,Utilities & Bills,115.40,expense,Bank
TXN-1046,2026-06-05,Water District,Utilities & Bills,45.00,expense,Bank
TXN-1047,2026-06-06,Trader Joes,Food & Dining,68.90,expense,Credit Card
TXN-1048,2026-06-07,Local Theater,Entertainment,30.00,expense,Cash
TXN-1049,2026-06-08,Uber Ride,Transportation,16.50,expense,Credit Card
TXN-1050,2026-06-08,Amazon Clothes,Others,140.00,expense,Credit Card
TXN-1051,2026-06-09,Burger King,Food & Dining,11.80,expense,Cash
TXN-1052,2026-06-10,Nintendo Switch Store,Entertainment,49.99,expense,Credit Card
TXN-1053,2026-06-11,Monthly Subway Pass,Transportation,90.00,expense,Bank
TXN-1054,2026-06-12,Internet Provider,Utilities & Bills,79.99,expense,Bank
TXN-1055,2026-06-13,Target Home Decor,Others,64.00,expense,Credit Card
TXN-1056,2026-06-14,Whole Foods,Food & Dining,88.40,expense,Credit Card
TXN-1057,2026-06-15,Dividend Payout,Income,150.00,income,Bank
TXN-1058,2026-06-15,Spotify Premium,Entertainment,9.99,expense,Credit Card
TXN-1059,2026-06-16,Gym Membership,Others,50.00,expense,Bank
TXN-1060,2026-06-17,Chevron Gas,Transportation,46.50,expense,Credit Card
TXN-1061,2026-06-18,Local Cafe,Food & Dining,24.00,expense,Cash
TXN-1062,2026-06-19,Mobile Data Plan,Utilities & Bills,45.00,expense,Credit Card
TXN-1063,2026-06-20,Trader Joes,Food & Dining,71.20,expense,Credit Card
TXN-1064,2026-06-21,Concert Ticket,Entertainment,150.00,expense,Credit Card
TXN-1065,2026-06-22,Uber Ride,Transportation,24.00,expense,Credit Card
TXN-1066,2026-06-23,Bookstore,Others,45.00,expense,Cash
TXN-1067,2026-06-24,Starbucks,Food & Dining,7.50,expense,Cash
TXN-1068,2026-06-25,Whole Foods,Food & Dining,124.80,expense,Credit Card
TXN-1069,2026-06-26,Gas Bill,Utilities & Bills,58.00,expense,Bank
TXN-1070,2026-06-27,Pharmacy,Others,19.20,expense,Credit Card
TXN-1071,2026-06-28,Dominos Pizza,Food & Dining,26.50,expense,Credit Card
TXN-1072,2026-06-28,Arcade Games,Entertainment,20.00,expense,Cash
TXN-1073,2026-06-29,Trash Collection,Utilities & Bills,25.00,expense,Bank
TXN-1074,2026-06-30,Chevron Gas,Transportation,45.00,expense,Credit Card
TXN-1075,2026-06-30,Freelance Design,Income,800.00,income,Bank
TXN-1076,2026-07-01,Salary Monthly,Income,5000.00,income,Bank
TXN-1077,2026-07-01,Apartment Rent,Housing & Rent,1600.00,expense,Bank
TXN-1078,2026-07-02,Whole Foods,Food & Dining,81.30,expense,Credit Card
TXN-1079,2026-07-02,Chevron Gas,Transportation,49.00,expense,Credit Card
TXN-1080,2026-07-03,Starbucks,Food & Dining,7.00,expense,Cash
TXN-1081,2026-07-04,Netflix,Entertainment,19.99,expense,Credit Card
TXN-1082,2026-07-05,Electricity Bill,Utilities & Bills,140.20,expense,Bank
TXN-1083,2026-07-05,Water District,Utilities & Bills,45.00,expense,Bank
TXN-1084,2026-07-06,Trader Joes,Food & Dining,75.40,expense,Credit Card
TXN-1085,2026-07-07,Movie Theater,Entertainment,28.00,expense,Cash
TXN-1086,2026-07-08,Uber Ride,Transportation,21.50,expense,Credit Card
TXN-1087,2026-07-08,Amazon Office Accessories,Others,95.00,expense,Credit Card
TXN-1088,2026-07-09,KFC,Food & Dining,15.60,expense,Cash
TXN-1089,2026-07-10,PlayStation Network,Entertainment,59.99,expense,Credit Card
TXN-1090,2026-07-11,Monthly Subway Pass,Transportation,90.00,expense,Bank
TXN-1091,2026-07-12,Internet Provider,Utilities & Bills,79.99,expense,Bank
TXN-1092,2026-07-13,Target Blanket,Others,35.00,expense,Credit Card
TXN-1093,2026-07-14,Whole Foods,Food & Dining,105.20,expense,Credit Card
TXN-1094,2026-07-15,Dividend Payout,Income,150.00,income,Bank
TXN-1095,2026-07-15,Spotify Premium,Entertainment,9.99,expense,Credit Card
TXN-1096,2026-07-16,Gym Membership,Others,50.00,expense,Bank
TXN-1097,2026-07-17,Chevron Gas,Transportation,45.00,expense,Credit Card
TXN-1098,2026-07-18,Local Diner,Food & Dining,31.00,expense,Cash
TXN-1099,2026-07-19,Mobile Data Plan,Utilities & Bills,45.00,expense,Credit Card
TXN-1100,2026-07-20,Trader Joes,Food & Dining,62.00,expense,Credit Card
TXN-1101,2026-07-21,Comedy Show,Entertainment,80.00,expense,Credit Card
TXN-1102,2026-07-22,Uber Ride,Transportation,20.00,expense,Credit Card
TXN-1103,2026-07-23,Bookstore,Others,25.00,expense,Cash
TXN-1104,2026-07-24,Starbucks,Food & Dining,6.90,expense,Cash
TXN-1105,2026-07-25,Whole Foods,Food & Dining,118.00,expense,Credit Card
